transaction_id,experiment_id,variant,click_id,click_date,transaction_date,booking_value,cancelled
TX000050,EXP001,Control,CLK001143,2026-08-01,2026-08-03,298.55,0
TX000051,EXP001,Control,CLK001146,2026-08-01,2026-08-02,578.26,false
TX000052,EXP001,Control,CLK001151,2026-08-01,2026-08-03,391.86,0
TX000053,EXP001,Control,CLK001184,2026-08-01,2026-08-11,367.87,true
TX000054,EXP001,Control,CLK001192,2026-08-01,2026-08-11,502.91,0
TX000055,EXP001,Control,CLK001210,2026-08-01,2026-08-03,255.31,false
TX000056,EXP001,Control,CLK001214,2026-08-01,2026-08-09,1430.37,false
TX000057,EXP001,Control,CLK001261,2026-08-01,2026-08-09,457.71,false
TX000058,EXP001,Control,CLK001396,2026-08-01,2026-08-08,114.62,0
TX000059,EXP001,Control,CLK001445,2026-08-01,2026-08-02,439.85,false
TX000060,EXP001,Control,CLK001448,2026-08-01,2026-08-02,639.79,false
TX000061,EXP001,Control,CLK001488,2026-08-01,2026-08-03,1592.49,0
TX000062,EXP001,Control,CLK001549,2026-08-01,2026-08-11,355.25,0
TX000063,EXP001,Control,CLK001557,2026-08-01,2026-08-08,49.7,false
TX000064,EXP001,Control,CLK001571,2026-08-01,2026-08-06,436.15,false
TX000065,EXP001,Control,CLK001665,2026-08-01,2026-08-05,436.75,true
TX000066,EXP001,Control,CLK001669,2026-08-01,2026-08-05,973.7,0
TX000067,EXP001,Control,CLK001722,2026-08-01,2026-08-03,304.76,false
TX000068,EXP001,Control,CLK001730,2026-08-01,2026-08-08,681.68,false
TX000069,EXP001,Control,CLK001739,2026-08-01,2026-08-06,461.7,0
TX000070,EXP001,Control,CLK001757,2026-08-01,2026-08-02,539.42,0
TX000071,EXP001,Control,CLK001768,2026-08-01,2026-08-03,596.38,false
TX000072,EXP001,Control,CLK001777,2026-08-01,2026-08-02,,0
TX000073,EXP001,Control,CLK001780,2026-08-01,2026-08-01,519.36,false
TX000074,EXP001,Control,CLK001846,2026-08-01,2026-08-07,77.27,true
TX000075,EXP001,Control,CLK001851,2026-08-01,2026-08-03,1221.5,0
TX000076,EXP001,Control,CLK001859,2026-08-01,2026-08-08,341.95,0
TX000077,EXP001,Control,CLK001866,2026-08-01,2026-08-04,368.24,0
TX000078,EXP001,Control,CLK001874,2026-08-01,2026-08-09,1076.69,0
TX000079,EXP001,Control,CLK001880,2026-08-01,2026-08-03,333.15,false
TX000080,EXP001,Control,CLK001908,2026-08-01,2026-08-06,348.37,false
TX000081,EXP001,Control,CLK001925,2026-08-01,2026-08-01,1100.47,false
TX000082,EXP001,Control,CLK001925,2026-08-01,2026-08-03,511.02,0
TX000083,EXP001,Control,CLK001943,2026-08-01,2026-08-05,777.82,0
TX000084,EXP001,Control,CLK001946,2026-08-01,2026-08-11,759.85,0
TX000085,EXP001,Control,CLK001950,2026-08-01,2026-08-09,280.24,1
TX000086,EXP001,Control,CLK001958,2026-08-01,2026-08-08,652.57,false
TX000087,EXP001,Control,CLK001980,2026-08-01,2026-08-07,,false
TX000088,EXP001,Control,CLK001988,2026-08-01,2026-08-03,492.0,0
TX000089,EXP001,Control,CLK002057,2026-08-01,2026-08-11,1085.23,false
TX000090,EXP001,Control,CLK002104,2026-08-01,2026-08-05,1001.53,1
TX000091,EXP001,Control,CLK002124,2026-08-01,2026-08-02,354.76,false
TX000092,EXP001,Control,CLK002126,2026-08-01,2026-08-11,186.28,0
TX000093,EXP001,Control,CLK002127,2026-08-01,2026-08-01,538.49,0
TX000094,EXP001,Control,CLK002149,2026-08-01,2026-08-01,399.27,0
TX000095,EXP001,Control,CLK002178,2026-08-01,2026-08-08,178.04,0
TX000096,EXP001,Control,CLK002212,2026-08-01,2026-08-06,1208.83,false
TX000097,EXP001,Control,CLK002212,2026-08-01,2026-08-06,811.29,0
TX000098,EXP001,Control,CLK002222,2026-08-01,2026-08-01,1453.42,false
TX000099,EXP001,Control,CLK002329,2026-08-01,2026-08-05,1676.21,false
TX000100,EXP001,Control,CLK002362,2026-08-01,2026-08-03,,0
TX000101,EXP001,Control,CLK002367,2026-08-01,2026-08-05,411.54,0
TX000102,EXP001,Control,CLK002385,2026-08-01,2026-08-11,776.41,0
TX000103,EXP001,Control,CLK002388,2026-08-01,2026-08-07,"1,249.26",0
TX000104,EXP001,Control,CLK002395,2026-08-01,2026-08-03,185.31,false
TX000105,EXP001,Control,CLK002399,2026-08-01,2026-08-05,1143.73,false
TX000106,EXP001,Control,CLK002409,2026-08-01,2026-08-08,1281.61,0
TX000107,EXP001,Control,CLK002413,2026-08-01,2026-08-03,196.2,false
TX000108,EXP001,Control,CLK002433,2026-08-01,2026-08-02,1330.33,false
TX000109,EXP001,Control,CLK002526,2026-08-01,2026-08-05,"1,222.02",0
TX000110,EXP001,Control,CLK002547,2026-08-01,2026-08-02,1274.92,0
TX000111,EXP001,Control,CLK002559,2026-08-01,2026-08-05,204.95,false
TX000112,EXP001,Control,CLK002578,2026-08-01,2026-08-03,553.82,false
TX000113,EXP001,Control,CLK002642,2026-08-01,2026-08-02,344.91,false
TX000114,EXP001,Control,CLK002643,2026-08-01,2026-08-03,220.41,0
TX000115,EXP001,Control,CLK002698,2026-08-01,2026-08-03,458.62,0
TX000116,EXP001,Control,CLK002701,2026-08-01,2026-08-08,711.47,false
TX000117,EXP001,Control,CLK002708,2026-08-01,2026-08-08,145.76,0
TX000118,EXP001,Control,CLK002715,2026-08-01,2026-08-09,982.58,0
TX000119,EXP001,Control,CLK002747,2026-08-01,2026-08-01,711.36,0
TX000120,EXP001,Control,CLK002750,2026-08-01,2026-08-02,771.8,0
TX000121,EXP001,Control,CLK002768,2026-08-01,2026-08-01,196.02,false
TX000122,EXP001,Control,CLK002786,2026-08-01,2026-08-11,169.6,0
TX000123,EXP001,Control,CLK002866,2026-08-01,2026-08-07,1022.06,0
TX000124,EXP001,Control,CLK002899,2026-08-01,2026-08-05,387.91,false
TX000125,EXP001,Control,CLK002962,2026-08-01,2026-08-11,863.25,0
TX000126,EXP001,Control,CLK002979,2026-08-01,2026-08-05,967.48,0
TX000127,EXP001,Control,CLK003004,2026-08-01,2026-08-03,179.69,false
TX000128,EXP001,Control,CLK003007,2026-08-01,2026-08-09,622.45,true
TX000129,EXP001,Control,CLK003020,2026-08-01,2026-08-02,238.23,false
TX000130,EXP001,Control,CLK003035,2026-08-01,2026-08-11,334.27,0
TX000131,EXP001,Control,CLK003046,2026-08-01,2026-08-03,1135.07,0
TX000132,EXP001,Control,CLK003083,2026-08-01,2026-08-05,,false
TX000133,EXP001,Control,CLK003088,2026-08-01,2026-08-11,169.5,0
TX000134,EXP001,Control,CLK003110,2026-08-01,2026-08-03,238.22,true
TX000135,EXP001,Control,CLK003128,2026-08-01,2026-08-01,326.13,0
TX000136,EXP001,Control,CLK003136,2026-08-01,2026-08-08,387.21,false
TX000137,EXP001,Control,CLK003149,2026-08-01,2026-08-03,327.68,false
TX000138,EXP001,Control,CLK003161,2026-08-01,2026-08-03,655.4,false
TX000139,EXP001,Control,CLK003179,2026-08-01,2026-08-01,770.88,1
TX000140,EXP001,Control,CLK003181,2026-08-01,2026-08-03,1059.14,false
TX000141,EXP001,Control,CLK003200,2026-08-01,2026-08-01,341.44,0
TX000142,EXP001,Control,CLK003205,2026-08-01,2026-08-03,525.0,false
TX000143,EXP001,Control,CLK003222,2026-08-01,2026-08-07,212.14,0
TX000144,EXP001,Control,CLK003267,2026-08-01,2026-08-07,364.65,false
TX000145,EXP001,Control,CLK003271,2026-08-01,2026-08-02,1130.51,1
TX000146,EXP001,Control,CLK003281,2026-08-01,2026-08-06,887.2,0
TX000147,EXP001,Control,CLK003282,2026-08-01,2026-08-02,678.45,0
TX000148,EXP001,Control,CLK003287,2026-08-01,2026-08-04,351.07,0
TX000149,EXP001,Control,CLK003291,2026-08-01,2026-08-05,1666.01,0
TX000150,EXP001,Control,CLK003320,2026-08-01,2026-08-03,162.74,0
TX000151,EXP001,Control,CLK003331,2026-08-01,2026-08-05,344.85,0
TX000152,EXP001,Control,CLK003360,2026-08-01,2026-08-09,477.76,false
TX000153,EXP001,Control,CLK003434,2026-08-01,2026-08-08,647.63,1
TX000154,EXP001,Control,CLK003470,2026-08-01,2026-08-03,702.08,false
TX000155,EXP001,Control,CLK003519,2026-08-01,2026-08-05,208.86,0
TX000156,EXP001,Control,CLK003527,2026-08-01,2026-08-01,638.13,false
TX000157,EXP001,Control,CLK003621,2026-08-01,2026-08-06,343.07,1
TX000158,EXP001,Control,CLK003629,2026-08-01,2026-08-03,290.29,false
TX000159,EXP001,Control,CLK003633,2026-08-01,2026-08-01,460.73,false
TX000160,EXP001,Control,CLK003652,2026-08-01,2026-08-08,153.71,0
TX000161,EXP001,Control,CLK003666,2026-08-01,2026-08-02,519.38,0
TX000162,EXP001,Control,CLK003690,2026-08-01,2026-08-04,648.56,false
TX000163,EXP001,Control,CLK003705,2026-08-01,2026-08-02,1133.35,false
TX000164,EXP001,Control,CLK003707,2026-08-01,2026-08-07,1450.45,0
TX000165,EXP001,Control,CLK003714,2026-08-01,2026-08-04,247.71,false
TX000166,EXP001,Control,CLK003762,2026-08-01,2026-08-11,573.57,false
TX000167,EXP001,Control,CLK003824,2026-08-01,2026-08-02,366.91,false
TX000168,EXP001,Control,CLK003842,2026-08-01,2026-08-07,712.54,0
TX000169,EXP001,Control,CLK003903,2026-08-01,2026-08-03,211.51,false
TX000170,EXP001,Control,CLK003964,2026-08-01,2026-08-06,1430.76,false
TX000171,EXP001,Control,CLK003971,2026-08-01,2026-08-08,263.94,0
TX000172,EXP001,Control,CLK003975,2026-08-01,2026-08-03,267.03,false
TX000173,EXP001,Control,CLK003984,2026-08-01,2026-08-02,863.77,0
TX000174,EXP001,Control,CLK003995,2026-08-01,2026-08-04,1138.66,0
TX000175,EXP001,Control,CLK004050,2026-08-01,2026-08-03,270.94,false
TX000176,EXP001,Control,CLK004060,2026-08-01,2026-08-05,233.34,false
TX000177,EXP001,Control,CLK004076,2026-08-01,2026-08-03,668.52,false
TX000178,EXP001,Control,CLK004085,2026-08-01,2026-08-03,551.27,false
TX000179,EXP001,Control,CLK004104,2026-08-01,2026-08-03,359.03,false
TX000180,EXP001,Control,CLK004109,2026-08-01,2026-08-09,1088.89,0
TX000181,EXP001,Control,CLK004133,2026-08-01,2026-08-11,472.89,true
TX000182,EXP001,Control,CLK004143,2026-08-01,2026-08-02,506.3,false
TX000183,EXP001,Control,CLK004165,2026-08-01,2026-08-11,474.24,false
TX000184,EXP001,Control,CLK004166,2026-08-01,2026-08-11,284.98,false
TX000185,EXP001,Control,CLK004208,2026-08-01,2026-08-04,164.51,0
TX000186,EXP001,Control,CLK004231,2026-08-01,2026-08-06,155.17,false
TX000187,EXP001,Control,CLK004246,2026-08-01,2026-08-11,491.82,false
TX000188,EXP001,Control,CLK004247,2026-08-01,2026-08-05,237.91,false
TX000189,EXP001,Control,CLK004258,2026-08-01,2026-08-05,457.59,0
TX000190,EXP001,Control,CLK004269,2026-08-01,2026-08-11,506.39,1
TX000191,EXP001,Control,CLK004278,2026-08-01,2026-08-02,292.43,false
TX000192,EXP001,Control,CLK004302,2026-08-01,2026-08-05,348.89,0
TX000193,EXP001,Control,CLK004329,2026-08-01,2026-08-03,196.37,true
TX000194,EXP001,Control,CLK004370,2026-08-01,2026-08-02,621.26,false
TX000195,EXP001,Control,CLK004381,2026-08-01,2026-08-04,362.77,false
TX000196,EXP001,Control,CLK004387,2026-08-01,2026-08-05,377.56,true
TX000197,EXP001,Control,CLK004396,2026-08-01,2026-08-04,362.90,false
TX000198,EXP001,Control,CLK004470,2026-08-01,2026-08-07,331.18,0
TX000199,EXP001,Control,CLK004472,2026-08-01,2026-08-06,370.96,0
TX000200,EXP001,Control,CLK004501,2026-08-01,2026-08-02,391.09,0
TX000201,EXP001,Control,CLK004574,2026-08-01,2026-08-02,807.18,false
TX000202,EXP001,Control,CLK004601,2026-08-01,2026-08-01,435.65,false
TX000203,EXP001,Control,CLK004603,2026-08-01,2026-08-02,440.0,0
TX000204,EXP001,Control,CLK004620,2026-08-01,2026-08-09,699.89,0
TX000205,EXP001,Control,CLK004644,2026-08-01,2026-08-11,313.89,false
TX000206,EXP001,Control,CLK004666,2026-08-01,2026-08-03,181.2,false
TX000207,EXP001,Control,CLK004687,2026-08-01,2026-08-03,307.81,true
TX000208,EXP001,Control,CLK004794,2026-08-01,2026-08-01,348.12,false
TX000209,EXP001,Control,CLK004797,2026-08-01,2026-08-02,1321.97,false
TX000210,EXP001,Control,CLK004819,2026-08-01,2026-08-07,183.65,false
TX000211,EXP001,Control,CLK004833,2026-08-01,2026-08-11,982.0,false
TX000212,EXP001,Control,CLK004858,2026-08-01,2026-08-05,425.17,0
TX000213,EXP001,Control,CLK004859,2026-08-01,2026-08-01,231.83,false
TX000214,EXP001,Control,CLK004931,2026-08-01,2026-08-05,260.78,false
TX000215,EXP001,Control,CLK004954,2026-08-01,2026-08-06,566.61,0
TX000216,EXP001,Control,CLK004966,2026-08-01,2026-08-03,1152.23,false
TX000217,EXP001,Control,CLK004984,2026-08-01,2026-08-02,277.05,0
TX000218,EXP001,Control,CLK005006,2026-08-01,2026-08-11,1154.2,false
TX000219,EXP001,Control,CLK005011,2026-08-01,2026-08-11,,false
TX000220,EXP001,Control,CLK005015,2026-08-01,2026-08-11,1627.64,0
TX000221,EXP001,Control,CLK005034,2026-08-01,2026-08-07,250.91,0
TX000222,EXP001,Control,CLK005046,2026-08-01,2026-08-01,211.2,true
TX000223,EXP001,Control,CLK005056,2026-08-01,2026-08-05,479.28,false
TX000224,EXP001,Control,CLK005133,2026-08-01,2026-08-03,264.29,false
TX000225,EXP001,Control,CLK005145,2026-08-01,2026-08-06,529.1,1
TX000226,EXP001,Control,CLK005145,2026-08-01,2026-08-04,1641.24,0
TX000227,EXP001,Control,CLK005152,2026-08-01,2026-08-09,1614.42,false
TX000228,EXP001,Control,CLK005170,2026-08-01,2026-08-08,482.41,0
TX000229,EXP001,Control,CLK005201,2026-08-01,2026-08-06,366.47,false
TX000230,EXP001,Control,CLK005228,2026-08-01,2026-08-01,379.24,false
TX000231,EXP001,Control,CLK005245,2026-08-01,2026-08-11,913.07,false
TX000232,EXP001,Control,CLK005252,2026-08-01,2026-08-09,573.22,false
TX000233,EXP001,Control,CLK005279,2026-08-01,2026-08-09,"1,402.85",false
TX000234,EXP001,Control,CLK005309,2026-08-01,2026-08-01,299.65,false
TX000235,EXP001,Control,CLK005310,2026-08-01,2026-08-03,960.07,false
TX000236,EXP001,Control,CLK005327,2026-08-01,2026-08-02,1035.87,false
TX000237,EXP001,Control,CLK005368,2026-08-01,2026-08-03,449.61,false
TX000238,EXP001,Control,CLK005400,2026-08-01,2026-08-02,1125.86,false
TX000239,EXP001,Control,CLK005422,2026-08-01,2026-08-09,744.77,true
TX000240,EXP001,Control,CLK005453,2026-08-01,2026-08-02,361.74,1
TX000241,EXP001,Control,CLK005453,2026-08-01,2026-08-05,387.9,false
TX000242,EXP001,Control,CLK005490,2026-08-01,2026-08-06,185.29,0
TX000243,EXP001,Control,CLK005514,2026-08-01,2026-08-07,686.1,0
TX000244,EXP001,Control,CLK005579,2026-08-01,2026-08-06,378.13,false
TX000245,EXP001,Control,CLK005579,2026-08-01,2026-08-07,162.42,false
TX000246,EXP001,Control,CLK005604,2026-08-01,2026-08-05,1344.57,0
TX000247,EXP001,Control,CLK005681,2026-08-01,2026-08-11,1367.15,1
TX000248,EXP001,Control,CLK005683,2026-08-01,2026-08-07,1367.17,0
TX000249,EXP001,Control,CLK005690,2026-08-01,2026-08-05,602.0,0
TX000250,EXP001,Control,CLK005714,2026-08-01,2026-08-02,462.54,0
TX000251,EXP001,Control,CLK005723,2026-08-01,2026-08-05,792.96,false
TX000252,EXP001,Control,CLK005730,2026-08-01,2026-08-02,491.73,1
TX000253,EXP001,Control,CLK005750,2026-08-01,2026-08-05,389.87,0
TX000254,EXP001,Control,CLK005773,2026-08-01,2026-08-01,818.35,0
TX000255,EXP001,Control,CLK005789,2026-08-01,2026-08-07,703.36,0
TX000256,EXP001,Control,CLK005815,2026-08-01,2026-08-09,796.01,false
TX000257,EXP001,Control,CLK005841,2026-08-01,2026-08-08,395.74,0
TX000258,EXP001,Control,CLK005862,2026-08-01,2026-08-01,350.85,false
TX000259,EXP001,Control,CLK005870,2026-08-01,2026-08-03,1006.89,false
TX000260,EXP001,Control,CLK005883,2026-08-01,2026-08-11,1122.19,0
TX000261,EXP001,Control,CLK005884,2026-08-01,2026-08-03,441.94,0
TX000262,EXP001,Control,CLK005901,2026-08-01,2026-08-02,162.47,false
TX000263,EXP001,Control,CLK005910,2026-08-01,2026-08-06,970.23,true
TX000264,EXP001,Control,CLK005948,2026-08-01,2026-08-05,370.64,0
TX000265,EXP001,Control,CLK005956,2026-08-01,2026-08-03,724.54,0
TX000266,EXP001,Control,CLK005986,2026-08-01,2026-08-04,430.75,0
TX000267,EXP001,Control,CLK005987,2026-08-01,2026-08-03,427.75,1
TX000268,EXP001,Control,CLK006009,2026-08-01,2026-08-05,664.37,true
TX000269,EXP001,Control,CLK006023,2026-08-01,2026-08-03,347.54,0
TX000270,EXP001,Control,CLK006037,2026-08-01,2026-08-07,2249.35,false
TX000271,EXP001,Control,CLK006039,2026-08-01,2026-08-05,187.13,false
TX000272,EXP001,Control,CLK006039,2026-08-01,2026-08-01,925.07,1
TX000273,EXP001,Control,CLK006071,2026-08-01,2026-08-11,885.46,0
TX000274,EXP001,Control,CLK006097,2026-08-01,2026-08-02,415.88,false
TX000275,EXP001,Control,CLK006098,2026-08-01,2026-08-06,292.37,0
TX000276,EXP001,Control,CLK006102,2026-08-01,2026-08-08,66.43,0
TX000277,EXP001,Control,CLK006103,2026-08-01,2026-08-07,94.76,false
TX000278,EXP001,Control,CLK006231,2026-08-01,2026-08-02,362.01,0
TX000279,EXP001,Control,CLK006239,2026-08-01,2026-08-03,169.56,0
TX000280,EXP001,Control,CLK006254,2026-08-01,2026-08-02,323.05,false
TX000281,EXP001,Control,CLK006317,2026-08-01,2026-08-05,716.52,false
TX000282,EXP001,Control,CLK006324,2026-08-01,2026-08-07,468.98,false
TX000283,EXP001,Control,CLK006334,2026-08-01,2026-08-05,489.32,false
TX000284,EXP001,Control,CLK006356,2026-08-01,2026-08-05,617.95,false
TX000285,EXP001,Control,CLK006375,2026-08-01,2026-08-02,185.69,0
TX000286,EXP001,Control,CLK006375,2026-08-01,2026-08-04,,0
TX000287,EXP001,Control,CLK006415,2026-08-01,2026-08-08,,0
TX000288,EXP001,Control,CLK006429,2026-08-01,2026-08-03,205.46,false
TX000289,EXP001,Control,CLK006438,2026-08-01,2026-08-03,367.87,0
TX000290,EXP001,Control,CLK006451,2026-08-01,2026-08-05,384.42,false
TX000291,EXP001,Control,CLK006453,2026-08-01,2026-08-07,699.82,false
TX000292,EXP001,Control,CLK006469,2026-08-01,2026-08-07,253.37,false
TX000293,EXP001,Control,CLK006476,2026-08-01,2026-08-05,680.91,false
TX000294,EXP001,Control,CLK006507,2026-08-01,2026-08-07,566.41,false
TX000295,EXP001,Control,CLK006555,2026-08-01,2026-08-09,531.81,false
TX000296,EXP001,Control,CLK006565,2026-08-01,2026-08-11,295.29,0
TX000297,EXP001,Control,CLK006572,2026-08-01,2026-08-04,250.24,0
TX000298,EXP001,Control,CLK006579,2026-08-01,2026-08-09,573.92,false
TX000299,EXP001,Control,CLK006589,2026-08-01,2026-08-04,1252.23,0
TX000300,EXP001,Control,CLK006652,2026-08-01,2026-08-03,328.24,1
TX000301,EXP001,Control,CLK006655,2026-08-01,2026-08-09,1329.88,false
TX000302,EXP001,Control,CLK006696,2026-08-01,2026-08-09,623.08,0
TX000303,EXP001,Control,CLK006705,2026-08-01,2026-08-03,220.93,false
TX000304,EXP001,Control,CLK006705,2026-08-01,2026-08-08,578.91,true
TX000305,EXP001,Control,CLK006726,2026-08-01,2026-08-08,354.66,0
TX000306,EXP001,Control,CLK006804,2026-08-01,2026-08-09,713.43,0
TX000307,EXP001,Control,CLK006817,2026-08-01,2026-08-03,535.54,false
TX000308,EXP001,Control,CLK006837,2026-08-01,2026-08-03,574.11,0
TX000309,EXP001,Control,CLK006841,2026-08-01,2026-08-11,713.24,false
TX000310,EXP001,Control,CLK006846,2026-08-01,2026-08-02,462.79,0
TX000311,EXP001,Control,CLK006847,2026-08-01,2026-08-03,970.63,0
TX000312,EXP001,Control,CLK006859,2026-08-01,2026-08-01,745.21,0
TX000313,EXP001,Control,CLK006890,2026-08-01,2026-08-03,753.61,false
TX000314,EXP001,Control,CLK006890,2026-08-01,2026-08-11,692.13,0
TX000315,EXP001,Control,CLK006928,2026-08-01,2026-08-02,441.71,0
TX000316,EXP001,Control,CLK006950,2026-08-01,2026-08-05,318.55,true
TX000317,EXP001,Control,CLK006950,2026-08-01,2026-08-03,262.36,true
TX000318,EXP001,Control,CLK006998,2026-08-01,2026-08-05,599.96,false
TX000319,EXP001,Control,CLK007004,2026-08-01,2026-08-09,774.83,true
TX000320,EXP001,Control,CLK007031,2026-08-01,2026-08-07,1023.6,0
TX000321,EXP001,Control,CLK007036,2026-08-01,2026-08-01,189.24,0
TX000322,EXP001,Control,CLK007055,2026-08-01,2026-08-02,176.91,0
TX000323,EXP001,Control,CLK007092,2026-08-01,2026-08-08,799.82,false
TX000324,EXP001,Control,CLK007101,2026-08-01,2026-08-01,230.93,0
TX000325,EXP001,Control,CLK007150,2026-08-01,2026-08-08,"1,109.39",0
TX000326,EXP001,Control,CLK007179,2026-08-01,2026-08-09,689.14,false
TX000327,EXP001,Control,CLK007217,2026-08-01,2026-08-07,171.98,0
TX000328,EXP001,Control,CLK007220,2026-08-01,2026-08-07,"1,112.35",false
TX000329,EXP001,Control,CLK007234,2026-08-01,2026-08-02,977.08,0
TX000330,EXP001,Control,CLK007263,2026-08-01,2026-08-09,435.23,0
TX000331,EXP001,Control,CLK007291,2026-08-01,2026-08-05,219.01,true
TX000332,EXP001,Control,CLK007294,2026-08-01,2026-08-09,292.85,false
TX000333,EXP001,Control,CLK007316,2026-08-01,2026-08-11,301.43,0
TX000334,EXP001,Control,CLK007318,2026-08-01,2026-08-05,538.37,true
TX000335,EXP001,Control,CLK007328,2026-08-01,2026-08-02,1329.82,false
TX000336,EXP001,Control,CLK007348,2026-08-01,2026-08-07,1579.8,false
TX000337,EXP001,Control,CLK007378,2026-08-01,2026-08-05,157.29,false
TX000338,EXP001,Control,CLK007395,2026-08-01,2026-08-01,,0
TX000339,EXP001,Control,CLK007403,2026-08-01,2026-08-05,341.41,false
TX000340,EXP001,Control,CLK007406,2026-08-01,2026-08-06,596.73,false
TX000341,EXP001,Control,CLK007407,2026-08-01,2026-08-01,2203.11,0
TX000342,EXP001,Control,CLK007464,2026-08-01,2026-08-05,309.6,0
TX000343,EXP001,Control,CLK007469,2026-08-01,2026-08-02,388.25,0
TX000344,EXP001,Control,CLK007482,2026-08-01,2026-08-07,335.46,false
TX000345,EXP001,Control,CLK007513,2026-08-01,2026-08-08,825.93,false
TX000346,EXP001,Control,CLK007519,2026-08-01,2026-08-01,,false
TX000347,EXP001,Control,CLK007586,2026-08-01,2026-08-08,369.7,false
TX000348,EXP001,Control,CLK007594,2026-08-01,2026-08-01,554.7,false
TX000349,EXP001,Control,CLK007638,2026-08-01,2026-08-04,566.61,0
TX000350,EXP001,Control,CLK007690,2026-08-01,2026-08-05,881.36,false
TX000351,EXP001,Control,CLK007695,2026-08-01,2026-08-01,263.51,false
TX000352,EXP001,Control,CLK007699,2026-08-01,2026-08-02,471.64,false
TX000353,EXP001,Control,CLK007700,2026-08-01,2026-08-07,431.08,0
TX000354,EXP001,Control,CLK007710,2026-08-01,2026-08-02,461.03,0
TX000355,EXP001,Control,CLK007757,2026-08-01,2026-08-04,225.77,1
TX000356,EXP001,Control,CLK007798,2026-08-01,2026-08-04,376.8,false
